Term,coursenumber,coursename,instructor,enrollment,level
202001,101,Contemporary Economic Issues,"Urbancic, Mike",,0
202001,201,Intro to Econ Analysis: Micro,"Stanford, Garrett",,0
202001,201,Intro to Econ Analysis: Micro,"Waddell, Glen",,0
202001,201,Intro to Econ Analysis: Micro,"Mitchell-Nelson, Joseph",,0
202001,201,Intro to Econ Analysis: Micro,"Ivanauskas, Terry",,0
202001,202,Intro to Econ Analysis: Macro,"Thompson, Jacob Jake",,0
202001,202,Intro to Econ Analysis: Macro,"Urbancic, Mike",,0
202001,202,Intro to Econ Analysis: Macro,"Kopriva, Mary",,0
202001,311,Inter Micro Theory,"Wong, Woan Foong",,1
202001,311,Inter Micro Theory,"Burlando, Alfredo",,1
202001,311,Inter Micro Theory,"Putz, Jenni",,1
202001,311,Inter Micro Theory,"Kuhn, Mike",,1
202001,313,Inter Macro Theory,"Briar, Cory",,1
202001,313,Inter Macro Theory,"Li, Jungang Alex",,1
202001,313,Inter Macro Theory,"Thoma, Mark",,1
202001,320,Intro to Econometrics,"Javed, Amna",,1
202001,320,Intro to Econometrics,"Thoma, Mark",,1
202001,327,Intro to Game Theory,"Huang, Hanyuan Harrison",,1
202001,327,Intro to Game Theory,"Holdahl, Ethan",,1
202001,333,Resource and Env Econ Issues,"Zhang, Shan",,1
202001,350,Labor Market Issues,"McDonough, Robert",,1
202001,360,Issues in IO,"Garcia, Brett",,1
202001,370,Money and Banking,"Stockwell, Thomas",,1
202001,390,Probs/Issues in Dev Econ,"Gupta, Saurabh",,1
202001,399,Health Econ,"Ivanauskas, Terry",,1
202001,411,Advanced Micro Theory,"van den Nouweland, Anne",,2
202001,413,Advanced Macro Theory,"McGough, Bruce",,2
202001,421,Intro to Econometrics,"Etcheverry, Luciana",,1
202001,423,Econometrics,"Davis, Jon",,2
202001,427,Games and Decisions,"van den Nouweland, Anne",,2
202001,428,Behav and Exp Econ,"Harbaugh, Bill",,2
202001,430,Urban and Regional,"Colas, Mark",,2
202001,435,Natural Resource Econ,"Cameron, Trudy",,2
202001,440,Public Econ,"Ellis, Chris",,2
202001,448,Political Economy,"Ellis, Chris",,2
202001,471,Monetary Theory,"Duy, Tim",,2
202001,481,Intl Trade,"Wong, Woan Foong",,2
202001,491,Issues Growth and Development.,"Chakraborty, Shankha",,2
202001,607,Core Micro,"Kolpin, Van",,3
202001,607,Core Macro,"McGough, Bruce",,3
202001,607,Core Econometrics (PhD),"Kolpin, Van",,3
202001,607,Time Series,"Piger, Jeremy",,3
202001,607,Labor/Urban,"Colas, Mark",,3
202001,607,Development,"Burlando, Alfredo",,3
202001,607,Macro Field,"Evans, George",,3
202001,607,Applied Behavioral Economics,"Kuhn, Mike",,3
201903,201,Intro to Econ Analysis: Micro,"Lennon, Connor",74,0
201903,201,Intro to Econ Analysis: Micro,"Mitchell-Nelson, Joseph",119,0
201903,201,Intro to Econ Analysis: Micro,"Miller, Keaton",158,0
201903,201,Intro to Econ Analysis: Micro,"Allen, Jeffrey",69,0
201903,202,Intro to Econ Analysis: Macro,"Stockwell, Thomas",298,0
201903,202,Intro to Econ Analysis: Macro,"Gupta, Saurabh",299,0
201903,202,Intro to Econ Analysis: Macro,"Kopriva, Mary",127,0
201903,311,Inter Micro Theory,"Dlouhy, Curtis",85,1
201903,311,Inter Micro Theory,"Houghton, Kendall",56,1
201903,311,Inter Micro Theory,"Zou, Eric",36,1
201903,311,Inter Micro Theory,"Miromanova, Anna",85,1
201903,311,Inter Micro Theory,"Kuhn, Mike",83,1
201903,313,Inter Macro Theory,"Briar, Cory",60,1
201903,313,Inter Macro Theory,"Lester, Chandler",67,1
201903,313,Inter Macro Theory,"Thoma, Mark",57,1
201903,320,Intro to Econometrics,"Ait Benasser, Youssef",56,1
201903,320,Intro to Econometrics,"Thoma, Mark",24,1
201903,327,Intro to Game Theory,"Urbancic, Mike",80,1
201903,330,Urban and Regional,"Urbancic, Mike",81,1
201903,333,Resource and Env Econ Issues,"Putz, Jenni",81,1
201903,340,Issues in Public Econ,"Mindock, Maxwell",66,1
201903,350,Labor Market Issues,"Etcheverry, Luciana",80,1
201903,360,Issues in IO,"Garcia, Brett",36,1
201903,370,Money and Banking,"Li, Xiang (Ivy)",86,1
201903,399,Health Econ,"Ivanauskas, Terry",15,1
201903,399,Sustainability Economics,"Doering, Ralph",19,1
201903,410,Big Data,"McDermott, Grant",23,2
201903,410,Crime Economics,"Hansen, Ben",83,2
201903,419,Econ Analysis of Community Issue,"Harbaugh, Bill",17,1
201903,421,Intro to Econometrics,"Rubin, Ed",115,1
201903,425,Econometrics III,"Zou, Eric",18,2
201903,427,Games and Decisions,"Wu, Jiabin",83,2
201903,443,Health Econ,"Hansen, Ben",85,2
201903,451,Issues in Labor Economics,"Kuhn, Mike",90,2
201903,460,Theory of IO,"Miller, Keaton",80,2
201903,462,Transportation,"Wilson, Wes",52,2
201903,607,Core Micro,"Wu, Jiabin",16,3
201903,607,Core Macro,"McGough, Bruce",12,3
201903,607,Core Econometrics (PhD),"Rubin, Ed",16,3
201903,607,Environmental,"Cameron, Trudy",7,3
201903,607,Experimental Econ,"Davis, Jon",13,3
201903,607,Industrial Organizations,"Wilson, Wes",6,3
201903,607,Macro Field,"McGough, Bruce",10,3
201902,201,Intro to Econ Analysis: Micro,"Raze, Kyle",153,0
201902,201,Intro to Econ Analysis: Micro,"Miller, Keaton",304,0
201902,201,Intro to Econ Analysis: Micro,"Waddell, Glen",278,0
201902,201,Intro to Econ Analysis: Micro,"Kiefer, Zachary",122,0
201902,201,Intro to Econ Analysis: Micro,"Allen, Jeffrey",106,0
201902,202,Intro to Econ Analysis: Macro,"Wilson, Melissa",117,0
201902,202,Intro to Econ Analysis: Macro,"Urbancic, Mike",195,0
201902,202,Intro to Econ Analysis: Macro,"Urbancic, Mike",83,0
201902,202,Intro to Econ Analysis: Macro,"Kopriva, Mary",100,0
201902,311,Inter Micro Theory,"van den Nouweland, Anne",24,1
201902,311,Inter Micro Theory,"van den Nouweland, Anne",81,1
201902,311,Inter Micro Theory,"Kolpin, Van",85,1
201902,311,Inter Micro Theory,"Zou, Eric",38,1
201902,313,Inter Macro Theory,"Li, Jungang Alex",43,1
201902,313,Inter Macro Theory,"Evans, David",63,1
201902,313,Inter Macro Theory,"Evans, David",56,1
201902,313,Inter Macro Theory,"Thoma, Mark",49,1
201902,320,Intro to Econometrics,"Javed, Amna",57,1
201902,320,Intro to Econometrics,"Thoma, Mark",50,1
201902,327,Intro to Game Theory,"Ellis, Chris",81,1
201902,330,Urban and Regional,"Morehouse, John",80,1
201902,340,Issues in Public Econ,"Thompson, Jacob Jake",58,1
201902,350,Labor Market Issues,"Huang, Hanyuan Harrison",79,1
201902,360,Issues in IO,"Garcia, Brett",38,1
201902,370,Money and Banking,"Stockwell, Thomas",78,1
201902,410,EC Policy Analysis,"Kolpin, Van",18,2
201902,418,Econ Analysis of Community Issue,"Harbaugh, Bill",17,1
201902,421,Intro to Econometrics,"Rubin, Ed",78,1
201902,422,Forecasting,"Duy, Tim",27,1
201902,424,Econometrics II,"Rubin, Ed",24,2
201902,430,Urban and Regional,"Colas, Mark",80,2
201902,435,Natural Resource Econ,"Cameron, Trudy",40,2
201902,440,Public Econ,"Ellis, Chris",56,2
201902,460,Theory of IO,"Miller, Keaton",27,2
201902,480,Intl Finance,"Chakraborty, Shankha",56,2
201902,481,Intl Trade,"Wong, Woan Foong",28,2
201902,482,Globalization,"Cristea, Anca",73,2
201902,484,Multinational Corporations,"Cristea, Anca",78,2
201902,607,Core Micro,"Colas, Mark",18,3
201902,607,Core Macro,"Evans, George",14,3
201902,607,Core Econometrics (PhD),"Evans, George",17,3
201902,607,Micro Econometrics,"Hansen, Ben",14,3
201902,607,Labor/Urban,"Waddell, Glen",9,3
201902,607,International,"Wong, Woan Foong",5,3
201902,607,Environmental,"McDermott, Grant",13,3
201901,101,Contemporary Economic Issues,"Urbancic, Mike",292,0
201901,201,Intro to Econ Analysis: Micro,"Mitchell-Nelson, Joseph",119,0
201901,201,Intro to Econ Analysis: Micro,"Waddell, Glen",199,0
201901,201,Intro to Econ Analysis: Micro,"Wilson, Melissa",70,0
