CASEID,race,sex,earn2009,bmonth,byear,afqt,region_1979,faminc1978,hgc,nsibs79
1,"NON-BLACK, NON-HISPANIC",FEMALE,,9,1958,,1,92194.19,,1
2,"NON-BLACK, NON-HISPANIC",FEMALE,6627.223,1,1959,6.841,1,58120.84,12,8
3,"NON-BLACK, NON-HISPANIC",FEMALE,,8,1961,49.444,1,81332.85,12,3
4,"NON-BLACK, NON-HISPANIC",FEMALE,,8,1962,55.761,1,81332.85,14,3
5,"NON-BLACK, NON-HISPANIC",MALE,,7,1959,96.772,1,,,1
6,"NON-BLACK, NON-HISPANIC",MALE,99739.7,10,1960,99.393,1,,16,1
7,"NON-BLACK, NON-HISPANIC",MALE,0,6,1964,47.412,1,30883.96,12,1
8,"NON-BLACK, NON-HISPANIC",FEMALE,46389.45,7,1958,44.022,1,,12,7
9,"NON-BLACK, NON-HISPANIC",MALE,57435.93,7,1963,59.683,1,61753.39,14,4
10,"NON-BLACK, NON-HISPANIC",FEMALE,,10,1960,30.039,1,12888.3,9,3
11,"NON-BLACK, NON-HISPANIC",MALE,,7,1959,85.347,1,,16,1
12,"NON-BLACK, NON-HISPANIC",FEMALE,,9,1959,89.641,1,83472.42,16,3
13,"NON-BLACK, NON-HISPANIC",MALE,,8,1958,72.313,1,,15,2
14,"NON-BLACK, NON-HISPANIC",FEMALE,104931,10,1963,98.798,1,,17,2
15,"NON-BLACK, NON-HISPANIC",MALE,0,2,1964,82.25999,1,79916.16,16,1
16,"NON-BLACK, NON-HISPANIC",FEMALE,70690.38,10,1958,50.283,1,144575.6,13,3
17,"NON-BLACK, NON-HISPANIC",MALE,55226.86,1,1957,89.669,1,18162.76,13,2
18,"NON-BLACK, NON-HISPANIC",MALE,66272.23,3,1958,95.97701,3,,13,2
19,"NON-BLACK, NON-HISPANIC",FEMALE,0,12,1957,,1,,12,3
20,"NON-BLACK, NON-HISPANIC",FEMALE,,11,1959,67.021,1,177268.6,16,2
21,"NON-BLACK, NON-HISPANIC",FEMALE,344973.4,6,1961,88.416,1,145302.1,16,2
22,"NON-BLACK, NON-HISPANIC",FEMALE,44181.48,1,1963,89.16701,1,65385.95,16,1
23,"NON-BLACK, NON-HISPANIC",MALE,,9,1958,83.214,1,143122.6,,2
24,"NON-BLACK, NON-HISPANIC",MALE,,1,1961,66.029,1,152204,12,2
25,"NON-BLACK, NON-HISPANIC",FEMALE,36184.64,11,1959,51.39,1,,14,1
26,"NON-BLACK, NON-HISPANIC",MALE,104931,9,1962,97.075,1,108976.6,,2
27,"NON-BLACK, NON-HISPANIC",FEMALE,17672.59,5,1960,96.674,1,64786.58,16,1
28,"NON-BLACK, NON-HISPANIC",FEMALE,0,1,1964,92.784,1,,12,1
29,"NON-BLACK, NON-HISPANIC",FEMALE,33136.11,10,1960,25.905,1,63351.72,12,1
30,"NON-BLACK, NON-HISPANIC",FEMALE,0,11,1958,8.528,1,70431.56,12,1
31,HISPANIC,MALE,0,10,1963,,1,18482.43,12,2
32,HISPANIC,FEMALE,82840.28,11,1957,,1,,18,2
33,HISPANIC,MALE,0,5,1962,,1,85364.98,12,2
