state,startdate,enddate,grade,samplesize,population,rawpoll_clinton,rawpoll_trump
NM,11/6/2016,11/6/2016,,8439,lv,46,44
VA,11/3/2016,11/4/2016,B+,1238,lv,48,43
IA,11/1/2016,11/4/2016,A+,800,lv,39,46
WI,10/26/2016,10/31/2016,A,1255,lv,46,40
NC,11/4/2016,11/6/2016,A,800,lv,44,44
GA,11/6/2016,11/6/2016,B,1200,lv,46,49
FL,11/3/2016,11/6/2016,A-,884,lv,46,45
NC,11/3/2016,11/6/2016,A-,870,lv,47,45
VA,10/27/2016,10/30/2016,A+,1024,lv,48,42
GA,11/3/2016,11/6/2016,B-,2002,rv,44,48
OR,11/3/2016,11/6/2016,B-,1963,rv,44,40
OH,11/3/2016,11/6/2016,B-,1781,rv,42,48
SC,11/3/2016,11/6/2016,B-,1751,rv,43,48
OH,11/2/2016,11/4/2016,B,1189,lv,45,46
VA,11/1/2016,11/2/2016,,3076,lv,46,44
NY,11/3/2016,11/6/2016,B-,1681,rv,55,36
MI,11/3/2016,11/4/2016,B+,957,lv,46,41
NC,10/31/2016,11/1/2016,B+,1169,lv,49,47
WI,11/1/2016,11/2/2016,,2720,lv,49,41
PA,11/1/2016,11/2/2016,,2683,lv,46,45
VA,11/1/2016,11/6/2016,B-,1193,lv,48,42
NC,11/1/2016,11/2/2016,,2596,lv,45,48
OH,11/1/2016,11/2/2016,,2557,lv,44,45
GA,11/3/2016,11/5/2016,B,995,lv,43,49
MO,10/31/2016,11/1/2016,B+,1083,lv,37,50
NH,11/4/2016,11/5/2016,B,1000,lv,45.4,43.8
AZ,11/3/2016,11/6/2016,B-,1453,rv,43,45
FL,11/1/2016,11/2/2016,,2352,lv,45,48
PA,10/31/2016,11/1/2016,B+,1050,lv,48,44
PA,11/3/2016,11/5/2016,B,931,lv,45,43
NV,11/3/2016,11/6/2016,B-,1158,lv,45,43
CO,11/3/2016,11/6/2016,B-,1378,rv,44,43
FL,11/2/2016,11/4/2016,B,1188,rv,45,45
WI,11/1/2016,11/2/2016,B,1129,lv,47,43
OH,11/4/2016,11/5/2016,B,900,lv,38.9,45.6
NH,11/3/2016,11/6/2016,B+,692,lv,49,38
PA,11/1/2016,11/4/2016,B,1033,lv,47,43
FL,10/20/2016,10/24/2016,A,1251,lv,48,45
CA,10/25/2016,10/31/2016,B,1498,lv,53,33
CO,11/1/2016,11/2/2016,,1863,lv,42,41
NY,11/3/2016,11/4/2016,A,617,lv,51,34
NV,11/1/2016,11/2/2016,,1793,lv,45,46
PA,11/3/2016,11/6/2016,B-,1220,rv,46,40
AZ,10/30/2016,11/1/2016,A,719,lv,40,45
MO,11/1/2016,11/2/2016,B,1036,lv,38,54
WI,11/3/2016,11/6/2016,B-,1184,rv,47,44
WA,10/31/2016,11/2/2016,A,681,lv,50,38
VA,11/1/2016,11/4/2016,B-,1362,rv,47,42
WI,10/31/2016,11/1/2016,B+,891,lv,48,41
CA,10/22/2016,10/30/2016,B+,1382,lv,54,30
GA,10/30/2016,11/1/2016,A,707,lv,44,45
CA,10/28/2016,10/31/2016,A,747,lv,56,35
FL,11/1/2016,11/7/2016,C-,4092,lv,47,45
TX,10/30/2016,11/1/2016,A,679,lv,40,49
MO,10/31/2016,11/1/2016,,1722,lv,39,52
AZ,10/29/2016,10/31/2016,,2229,lv,45,44
UT,11/3/2016,11/5/2016,B,762,lv,23,40
CO,11/3/2016,11/4/2016,B+,704,lv,48,43
VA,11/2/2016,11/6/2016,B,802,lv,45,41
