id,ad,education,ofjobs,yearsexp,honors,volunteer,military,empholes,occupspecific,occupbroad,workinschool,email,computerskills,specialskills,firstname,sex,race,h,l,call,city,kind,adid,fracblack,fracwhite,lmedhhinc,fracdropout,fraccolp,linc,col,expminreq,schoolreq,eoe,parent_sales,parent_emp,branch_sales,branch_emp,fed,fracblack_empzip,fracwhite_empzip,lmedhhinc_empzip,fracdropout_empzip,fraccolp_empzip,linc_empzip,manager,supervisor,secretary,offsupport,salesrep,retailsales,req,expreq,comreq,educreq,compreq,orgreq,manuf,transcom,bankreal,trade,busservice,othservice,missind,ownership
b,1,4,2,6,0,0,0,1,17,1,0,0,1,0,Allison,f,w,0,1,0,c,a,384,0.9893596,0.0055002,9.527484,0.274151,0.0376615,8.706325,1,5,,1,,,,,,,,,,,,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,
b,1,3,3,6,0,1,1,0,316,6,1,1,1,0,Kristen,f,w,1,0,0,c,a,384,0.0807357,0.8883739,10.40883,0.2336868,0.0872854,9.532859,0,5,,1,,,,,,,,,,,,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,
b,1,4,1,6,0,0,0,0,19,1,1,0,1,0,Lakisha,f,b,0,1,0,c,a,384,0.1043005,0.8373702,10.46675,0.1013347,0.5916955,10.54033,1,5,,1,,,,,,,,,,,,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,
b,1,3,4,6,0,1,0,1,313,5,0,1,1,1,Latonya,f,b,1,0,0,c,a,384,0.3361651,0.6373696,10.43191,0.1088479,0.4065759,10.41214,0,5,,1,,,,,,,,,,,,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,
b,1,3,3,22,0,0,0,0,313,5,1,1,1,0,Carrie,f,w,1,0,0,c,a,385,0.3975947,0.1801956,9.876219,0.3128728,0.0308469,8.728264,0,some,,1,9.4,143,9.4,143,0,0.2047635,0.727046,10.6194,0.0704931,0.3699031,10.00735,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,Nonprofit
b,1,4,2,6,1,0,0,0,266,4,0,0,0,1,Jay,m,w,0,1,0,c,s,386,0.3361651,0.6373696,10.43191,0.1088479,0.4065759,10.41214,1,,,1,40,135,40,135,0,0.0081415,0.9734131,11.13796,0.0479583,0.4133062,10.39372,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Private
b,1,4,2,5,0,1,0,0,13,1,1,1,1,1,Jill,f,w,1,0,0,c,s,386,0.0027957,0.9521402,10.4536,0.2364453,0.1249801,9.621058,1,,,1,40,135,40,135,0,0.0081415,0.9734131,11.13796,0.0479583,0.4133062,10.39372,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Private
b,1,3,4,21,0,1,0,1,313,5,0,1,1,1,Kenya,f,b,1,0,0,c,a,385,0.1166239,0.7283393,10.28705,0.1398428,0.3656361,9.933725,0,some,,1,9.4,143,9.4,143,0,0.2047635,0.727046,10.6194,0.0704931,0.3699031,10.00735,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,Nonprofit
b,1,4,3,3,0,0,0,0,316,6,0,0,1,1,Latonya,f,b,0,1,0,c,s,386,0.0807357,0.8883739,10.40883,0.2336868,0.0872854,9.532859,1,,,1,40,135,40,135,0,0.0081415,0.9734131,11.13796,0.0479583,0.4133062,10.39372,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Private
b,1,4,2,6,0,1,0,0,263,4,1,1,0,1,Tyrone,m,b,1,0,0,c,s,386,0.9920427,0.0048143,8.841738,0.2950934,0.0531817,8.507345,1,,,1,40,135,40,135,0,0.0081415,0.9734131,11.13796,0.0479583,0.4133062,10.39372,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Private
b,1,4,4,8,0,1,0,1,379,6,0,1,1,1,Aisha,f,b,1,0,0,c,a,387,0.7046454,0.2521641,10.00487,0.1506685,0.3019941,9.668208,1,some,,1,9.4,143,9.4,143,0,0.2047635,0.727046,10.6194,0.0704931,0.3699031,10.00735,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,Nonprofit
b,1,4,4,8,0,0,0,0,316,6,1,1,1,0,Allison,f,w,1,0,0,c,a,387,0.9920427,0.0048143,8.841738,0.2950934,0.0531817,8.507345,1,some,,1,9.4,143,9.4,143,0,0.2047635,0.727046,10.6194,0.0704931,0.3699031,10.00735,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,Nonprofit
b,1,4,4,4,0,0,0,1,27,1,0,0,1,1,Aisha,f,b,0,1,0,c,a,388,0.9452907,0.0483303,9.892426,0.2518649,0.0559816,8.93406,1,,,1,18.4,55,,,0,0.0040303,0.9264852,11.12976,0.0498308,0.3947656,10.5187,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,Private
